City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nanortalik,GL,2021-05-26 17:23:06,60.1432,-45.2371,34.41,96,100,8.9
68,Kavieng,PG,2021-05-26 17:26:41,-2.5744,150.7967,80.37,84,100,8.25
69,Hithadhoo,MV,2021-05-26 17:26:41,-0.6,73.0833,83.62,73,94,19.73
70,Atar,MR,2021-05-26 17:24:39,20.5169,-13.0499,103.75,9,1,10.6
71,Praia,CV,2021-05-26 17:26:42,14.9215,-23.5087,81.14,54,20,21.85
72,Bondo,CD,2021-05-26 17:26:42,3.8146,23.6866,74.41,88,100,2.82
73,Codrington,AU,2021-05-26 17:26:42,-38.2667,141.9667,52.81,84,37,14.0
74,Kupang,ID,2021-05-26 17:26:42,-10.1667,123.5833,78.82,76,38,14.25
75,Ballina,AU,2021-05-26 17:26:43,-28.8667,153.5667,59.95,92,90,2.3
76,Torbay,CA,2021-05-26 17:26:43,47.6666,-52.7314,53.49,89,75,2.3
77,Lebu,CL,2021-05-26 17:26:43,-37.6167,-73.65,60.66,81,98,8.12
78,Bontang,ID,2021-05-26 17:26:44,0.1333,117.5,79.25,86,26,3.13
79,Mezen,RU,2021-05-26 17:26:44,65.8522,44.24,38.86,59,56,7.36
80,Port Hardy,CA,2021-05-26 17:26:44,50.6996,-127.4199,50.18,76,90,6.91
81,Kodiak,US,2021-05-26 17:23:16,57.79,-152.4072,53.11,50,1,12.66
82,Paragominas,BR,2021-05-26 17:26:45,-2.9667,-47.4833,90.9,48,12,4.88
83,Pangai,TO,2021-05-26 17:26:45,-19.8,-174.35,71.71,83,75,4.61
84,Provideniya,RU,2021-05-26 17:26:45,64.3833,-173.3,43.56,47,69,16.33
85,Sorland,NO,2021-05-26 17:26:45,67.667,12.6934,44.46,81,2,22.82
86,Chuy,UY,2021-05-26 17:26:46,-33.6971,-53.4616,61.05,50,36,9.55
87,Qaanaaq,GL,2021-05-26 17:23:12,77.484,-69.3632,35.15,73,5,4.21
88,Weligama,LK,2021-05-26 17:26:46,5.9667,80.4167,80.17,84,83,17.65
89,Ossora,RU,2021-05-26 17:26:46,59.2353,163.0719,33.98,99,100,6.82
90,Bathsheba,BB,2021-05-26 17:26:47,13.2167,-59.5167,86.61,54,40,15.93
91,Thompson,CA,2021-05-26 17:23:45,55.7435,-97.8558,28.56,54,75,6.91
92,Adrar,MR,2021-05-26 17:26:47,20.5022,-10.0711,101.73,13,9,9.98
93,Castro,BR,2021-05-26 17:23:41,-24.7911,-50.0119,64.87,48,96,2.84
94,Saint-Philippe,RE,2021-05-26 17:26:48,-21.3585,55.7679,72.99,83,53,3.56
95,Nishihara,JP,2021-05-26 17:26:48,26.1842,127.7558,80.26,94,20,17.47
96,Avarua,CK,2021-05-26 17:26:48,-21.2078,-159.775,78.85,89,75,4.61
97,Yulara,AU,2021-05-26 17:24:36,-25.2406,130.9889,48.04,61,38,8.05
98,Kahului,US,2021-05-26 17:24:11,20.8947,-156.47,78.84,78,40,5.75
99,East London,ZA,2021-05-26 17:26:49,-33.0153,27.9116,63.54,88,75,5.75
100,Rio Frio,MX,2021-05-26 17:26:49,19.35,-98.6667,62.82,35,91,2.62
