City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
675,Galesong,ID,-5.3166,119.3661,78.82,77,7,4.79,clear sky
676,Cowansville,CA,45.2001,-72.7491,57.0,34,85,7.4,overcast clouds
677,Lokosovo,RU,61.1333,74.8167,34.83,63,53,10.4,broken clouds
678,Ahuimanu,US,21.4447,-157.8378,85.75,56,40,10.36,scattered clouds
679,Keskin,TR,39.6731,33.6136,60.08,66,94,2.55,overcast clouds
680,Coahuayana,MX,18.7333,-103.6833,92.68,48,100,6.55,overcast clouds
681,Elizabeth City,US,36.2946,-76.2511,82.98,65,1,10.36,clear sky
682,Itoman,JP,26.1247,127.6694,83.17,92,40,14.97,scattered clouds
683,Domingos Martins,BR,-20.3633,-40.6592,68.81,98,78,1.54,broken clouds
684,Bonthe,SL,7.5264,-12.505,81.68,79,54,8.95,broken clouds
685,Manaure,CO,11.7751,-72.4445,85.64,63,98,15.95,overcast clouds
686,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,68,100,12.66,overcast clouds
687,Kutum,SD,14.2,24.6667,82.22,19,85,3.02,overcast clouds
688,Marawi,PH,7.9986,124.2928,72.64,83,43,2.1,scattered clouds
689,Akyab,MM,20.15,92.9,82.36,84,55,7.45,broken clouds
690,Kismayo,SO,-0.3582,42.5454,77.92,80,76,12.1,broken clouds
691,Zaragoza,ES,41.6561,-0.8773,72.05,62,0,1.99,clear sky
692,Moranbah,AU,-22.0016,148.0466,58.59,34,0,15.88,clear sky
693,Lompoc,US,34.6391,-120.4579,77.13,73,1,14.97,clear sky
694,San Jose,US,37.3394,-121.895,83.08,50,20,13.0,few clouds
695,Santa Maria,BR,-29.6842,-53.8069,56.5,94,0,4.34,clear sky
696,Uarini,BR,-2.99,-65.1083,78.75,84,13,1.72,few clouds
697,Honningsvag,NO,70.9821,25.9704,37.99,68,99,23.82,overcast clouds
698,Yakima,US,46.4665,-120.6678,69.24,33,1,20.78,clear sky
699,Villa Carlos Paz,AR,-31.4241,-64.4978,63.9,61,63,8.01,broken clouds
700,Agueda,PT,40.5772,-8.4444,62.65,83,99,2.71,overcast clouds
701,Rakaia,NZ,-43.75,172.0167,50.63,68,94,6.15,overcast clouds
702,Tateyama,JP,34.9833,139.8667,70.14,78,100,5.08,overcast clouds
703,Kindu,CD,-2.95,25.95,68.94,95,97,2.24,overcast clouds
704,Villarrica,PY,-25.75,-56.4333,70.14,63,100,4.7,overcast clouds
705,Praya,CV,14.9215,-23.5087,72.14,73,20,14.97,few clouds
706,San Agustin,MX,20.5333,-103.4667,96.51,13,40,4.88,scattered clouds
707,Ler,SS,8.3018,30.1418,76.28,79,60,4.81,broken clouds
708,Abonnema,NG,4.7084,6.7931,77.36,89,17,4.72,few clouds
709,Asfi,MA,32.2994,-9.2372,64.83,89,19,8.08,few clouds
710,Balkhash,KZ,46.844,74.9804,68.76,46,27,30.13,scattered clouds
711,Kistelek,HU,46.4725,19.9797,60.08,72,100,11.45,overcast clouds
712,Lulea,SE,65.5842,22.1547,42.87,65,48,2.3,scattered clouds
713,Alice Springs,AU,-23.7,133.8833,42.35,65,92,9.95,overcast clouds
714,Mahon,ES,39.8885,4.2658,61.36,88,0,4.61,clear sky
