City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
314,Havoysund,NO,70.9963,24.6622,38.28,overcast clouds,Arctic View Glamping & Restaurant
318,Tiksi,RU,71.6872,128.8694,34.81,overcast clouds,Arktika
321,Beringovskiy,RU,63.05,179.3167,33.35,overcast clouds,Beringgorski
328,Onega,RU,63.9061,38.1404,37.9,broken clouds,Lunny Kot Guest House
334,Hemnesberget,NO,66.2333,13.6333,42.58,broken clouds,Rana Plast AS
342,Arkhangelsk,RU,64.5401,40.5433,41.11,overcast clouds,DVINA HOTEL
353,Den Helder,NL,52.9599,4.7593,49.98,overcast clouds,Hotel Den Helder
357,Roald,NO,62.5833,6.1333,48.9,overcast clouds,Flem Cabins
363,Amqui,CA,48.4638,-67.4313,43.29,overcast clouds,Hôtel Sélectôtel Amqui
366,Haukipudas,FI,65.1765,25.3523,37.45,broken clouds,Best Western Hotel Samantta
369,Andenes,NO,69.3143,16.1194,41.07,overcast clouds,Hotell Marena
383,Port Augusta,AU,-32.5,137.7667,49.71,overcast clouds,Majestic Oasis Apartments
384,Aleksandrovskiy Zavod,RU,50.9237,117.9374,45.36,overcast clouds,Druzhba
385,Nemuro,JP,43.3236,145.575,43.16,overcast clouds,Hotel Nemuro Kaiyoutei
395,Geilo,NO,60.5333,8.2076,40.69,overcast clouds,Havsdalsgrenda Geilo
418,Salekhard,RU,66.53,66.6019,34.18,few clouds,Hotel 89
430,Yulara,AU,-25.2406,130.9889,46.24,broken clouds,Desert Gardens Hotel - Ayers Rock Resort
432,Chumikan,RU,54.7183,135.315,38.34,overcast clouds,Fortuna
433,Maniitsoq,GL,65.4167,-52.9,35.02,scattered clouds,Hotel Heilmann Lyberth
437,Severo-Kurilsk,RU,50.6789,156.125,39.99,overcast clouds,Kak Doma
441,Ust-Tsilma,RU,65.441,52.1498,34.57,overcast clouds,U Praskov'i
443,Kjollefjord,NO,70.9457,27.3465,36.54,overcast clouds,Hotel Nordkyn
456,Ainazi,LV,57.8636,24.3578,46.98,broken clouds,Ikla Hostel
458,Plon,DE,54.1667,10.4167,49.84,few clouds,Hotel Plöner See by Tulip Inn by Tulip Inn
470,Norman Wells,CA,65.282,-126.8329,46.44,broken clouds,Heritage Hotel
474,Goba,ET,7.0167,39.9833,49.71,broken clouds,Goba Wabe Shebelle Hotel
487,Kurumkan,RU,54.3,110.3,45.41,clear sky,Ilikchin
489,Salym,RU,60.0625,71.4789,35.87,overcast clouds,Gostinitsa Salym
494,Kologriv,RU,58.8275,44.3178,47.39,few clouds,Postoyalyy Dvor
496,Severobaykalsk,RU,55.65,109.3167,39.78,clear sky,Hostel03RUS
509,Megion,RU,61.0296,76.1136,37.42,broken clouds,Komfort Hotel
536,Mehamn,NO,71.0357,27.8492,36.07,overcast clouds,Mehamn Arctic Hotel AS
543,Heihe,CN,50.2441,127.4902,48.78,scattered clouds,Hotel Strannik
551,Konosha,RU,60.9736,40.257,43.32,overcast clouds,Gostinitsa Miks
557,Kislovodsk,RU,43.9133,42.7208,49.64,clear sky,Sanatorium Plaza
559,Saint-Francois,FR,46.4154,3.9054,49.68,clear sky,Manoir Du Bonheur
568,Thurso,GB,58.5927,-3.5259,46.35,clear sky,Weigh Inn Hotel
577,Merrill,US,45.1805,-89.6835,43.81,light rain,Prairie Motel
580,Troitsko-Pechorsk,RU,62.7084,56.1964,37.67,overcast clouds,Pechora Gostinitsa
596,Yar-Sale,RU,66.8333,70.8333,34.14,broken clouds,Yalemd
607,Lukovetskiy,RU,64.2956,41.9211,40.98,overcast clouds,Gostinitsa
617,Grindavik,IS,63.8424,-22.4338,48.67,broken clouds,Northern Light Inn & Max's Restaurant
627,Poronaysk,RU,49.2167,143.1167,46.44,scattered clouds,Avtovokzal Khostel Stolovaya
628,Iskateley,RU,67.6803,53.1512,38.39,overcast clouds,Hostel Agat
630,Kortkeros,RU,61.8106,51.5806,48.2,overcast clouds,SCP FOUNDATION
650,Pinsk,BY,52.1229,26.0951,49.95,overcast clouds,Smart Business Hotel
651,Iisalmi,FI,63.5592,27.1907,46.42,overcast clouds,Original Sokos Hotel Koljonvirta
656,Uray,RU,60.1247,64.7758,41.63,overcast clouds,Hotel Pioner
697,Honningsvag,NO,70.9821,25.9704,37.99,overcast clouds,Nordkapp Vandrerhjem
712,Lulea,SE,65.5842,22.1547,42.87,scattered clouds,Comfort Hotel Arctic
713,Alice Springs,AU,-23.7,133.8833,42.35,overcast clouds,Desert Palms Alice Springs
